14,19,12,31,7,,,,,,,,,,,,,,,,,,
14,18,6,19,12,,,,,,,,,,,,,,,,,,
36,3,13,18,31,28,20,7,6,13,,,,,,,,,,,,,
6,20,6,28,3,12,6,3,7,12,18,30,20,20,7,,,,,,,,
14,1,12,6,19,13,,,,,,,,,,,,,,,,,
6,2,12,3,13,13,-1,6,19,12,12,6,12,-1,12,20,7,12,13,,,,
1,18,31,20,20,14,,,,,,,,,,,,,,,,,
18,30,20,29,19,29,14,14,12,,,,,,,,,,,,,,
14,18,6,19,12,,,,,,,,,,,,,,,,,,
18,30,19,12,12,1,28,3,14,14,12,,,,,,,,,,,,
20,18,27,24,26,19,12,6,13,6,3,14,14,12,18,27,18,,,,,,
18,11,20,26,7,24,26,3,12,17,12,12,6,3,12,18,30,24,26,18,,,
14,18,6,19,12,14,,,,,,,,,,,,,,,,,
20,31,3,12,28,19,14,14,31,,,,,,,,,,,,,,
14,14,18,30,12,24,3,7,12,12,12,24,14,14,,,,,,,,,
18,31,3,12,6,19,12,,,,,,,,,,,,,,,,
14,19,12,,,,,,,,,,,,,,,,,,,,
33,27,18,28,24,19,12,,,,,,,,,,,,,,,,
36,18,28,23,3,12,,,,,,,,,,,,,,,,,
35,30,19,13,28,24,18,,,,,,,,,,,,,,,,
36,18,30,18,19,12,6,14,14,,,,,,,,,,,,,,
18,11,26,23,6,3,12,6,14,,,,,,,,,,,,,,
18,11,26,24,18,6,14,,,,,,,,,,,,,,,,
18,30,18,11,26,3,12,12,,,,,,,,,,,,,,,
33,30,18,30,24,26,13,12,,,,,,,,,,,,,,,
6,3,12,30,18,26,3,12,35,14,31,28,23,,,,,,,,,,
14,18,30,6,4,30,3,13,,,,,,,,,,,,,,,
36,18,26,6,1,29,23,19,13,,,,,,,,,,,,,,
14,18,27,19,12,6,3,12,,,,,,,,,,,,,,,
18,11,26,19,12,7,,,,,,,,,,,,,,,,,
18,20,30,24,26,3,12,6,3,2,13,,,,,,,,,,,,
6,18,30,2,12,6,13,18,11,26,32,11,26,8,,,,,,,,,
3,31,3,7,12,6,18,24,12,12,,,,,,,,,,,,,
18,30,28,24,26,20,1,18,30,28,24,26,3,13,24,26,3,12,12,,,,
33,30,18,26,6,28,14,1,28,14,,,,,,,,,,,,,
18,27,3,7,12,1,18,30,20,26,12,,,,,,,,,,,,
36,18,26,3,7,12,,,,,,,,,,,,,,,,,
36,18,27,3,21,12,24,3,9,20,7,,,,,,,,,,,,
18,31,28,18,6,7,13,1,26,,,,,,,,,,,,,,
33,30,18,30,24,26,,,,,,,,,,,,,,,,,
6,18,30,29,3,7,13,18,30,18,11,26,12,6,3,12,24,26,18,,,,
12,27,18,30,6,18,30,7,24,26,,,,,,,,,,,,,
18,30,23,20,3,12,6,14,1,14,14,11,26,,,,,,,,,,
18,30,13,6,3,13,,,,,,,,,,,,,,,,,
12,12,13,20,18,11,26,,,,,,,,,,,,,,,,
14,18,30,28,3,12,13,32,18,11,20,26,,,,,,,,,,,
33,30,19,13,,,,,,,,,,,,,,,,,,,
35,30,18,26,24,26,6,3,12,12,,,,,,,,,,,,,
3,12,31,3,12,6,12,6,12,12,19,13,,,,,,,,,,,
36,18,28,14,,,,,,,,,,,,,,,,,,,
36,18,26,14,14,1,14,14,27,6,,,,,,,,,,,,,
